participant,item,mass,answer,group,lang,native,Frequent,LIKERT,MINT,,,,NIVEL
13,nubes,nm,0,L2SP,SP,0,nf,3,26,,,,
13,muertes ,m,0,L2SP,SP,0,f,7,26,,,,
13,arboles,nm,0,L2SP,SP,0,f,7,26,,,,
13,buzones,nm,0,L2SP,SP,0,nf,2,26,,,,
13,calles,nm,1,L2SP,SP,0,f,7,26,,,,
13,carnes ,m,1,L2SP,SP,0,nf,1,26,,,,
13,clases,nm,0,L2SP,SP,0,f,8,26,,,,
14,lapices,nm,1,L2SP,SP,0,f,5,28,,,,I
14,jardines,nm,1,L2SP,SP,0,nf,1,28,,,,
14,coches,nm,1,L2SP,SP,0,f,5,28,,,,
14,paises,nm,1,L2SP,SP,0,f,3,28,,,,
14,caries,nm,1,L2SP,SP,0,nf,2,28,,,,
14,peines,nm,0,L2SP,SP,0,nf,1,28,,,,
14,fuentes,nm,1,L2SP,SP,0,nf,2,28,,,,
14,sobres,nm,1,L2SP,SP,0,nf,2,28,,,,
14,leches ,m,1,L2SP,SP,0,f,2,28,,,,
14,nubes,nm,1,L2SP,SP,0,nf,2,28,,,,
14,muertes ,m,1,L2SP,SP,0,f,3,28,,,,
14,arboles,nm,1,L2SP,SP,0,f,5,28,,,,
14,buzones,nm,1,L2SP,SP,0,nf,2,28,,,,
14,calles,nm,1,L2SP,SP,0,f,5,28,,,,
14,carnes ,m,1,L2SP,SP,0,nf,2,28,,,,
15,clases,nm,0,L2SP,SP,0,f,3,28,,,,
15,lapices,nm,0,L2SP,SP,0,f,7,19,,,,B
15,jardines,nm,0,L2SP,SP,0,nf,5,19,,,,
15,coches,nm,0,L2SP,SP,0,f,7,19,,,,
15,paises,nm,0,L2SP,SP,0,f,7,19,,,,
15,caries,nm,0,L2SP,SP,0,nf,5,19,,,,
15,peines,nm,1,L2SP,SP,0,nf,5,19,,,,
15,fuentes,nm,0,L2SP,SP,0,nf,5,19,,,,
15,sobres,nm,0,L2SP,SP,0,nf,4,19,,,,
15,leches ,m,0,L2SP,SP,0,f,5,19,,,,
15,nubes,nm,0,L2SP,SP,0,nf,6,19,,,,
15,muertes ,m,0,L2SP,SP,0,f,6,19,,,,
15,arboles,nm,1,L2SP,SP,0,f,8,19,,,,
15,buzones,nm,0,L2SP,SP,0,nf,6,19,,,,
15,calles,nm,0,L2SP,SP,0,f,7,19,,,,
15,carnes ,m,0,L2SP,SP,0,nf,5,19,,,,
15,clases,nm,0,L2SP,SP,0,f,7,19,,,,
16,lapices,nm,0,L2SP,SP,0,f,7,31,,,,I
16,jardines,nm,0,L2SP,SP,0,nf,1,31,,,,
16,coches,nm,1,L2SP,SP,0,f,4,31,,,,
16,paises,nm,1,L2SP,SP,0,f,8,31,,,,
16,caries,nm,1,L2SP,SP,0,nf,2,31,,,,
16,peines,nm,0,L2SP,SP,0,nf,1,31,,,,
16,fuentes,nm,1,L2SP,SP,0,nf,1,31,,,,
16,sobres,nm,1,L2SP,SP,0,nf,3,31,,,,
16,leches ,m,1,L2SP,SP,0,f,3,31,,,,
16,nubes,nm,0,L2SP,SP,0,nf,6,31,,,,
16,muertes ,m,1,L2SP,SP,0,f,6,31,,,,
16,arboles,nm,1,L2SP,SP,0,f,3,31,,,,
16,buzones,nm,0,L2SP,SP,0,nf,7,31,,,,
16,calles,nm,0,L2SP,SP,0,f,7,31,,,,
16,carnes ,m,1,L2SP,SP,0,nf,1,31,,,,
16,clases,nm,1,L2SP,SP,0,f,9,31,,,,
17,lapices,nm,1,L2SP,SP,0,f,4,12,,,,B
17,jardines,nm,1,L2SP,SP,0,nf,1,12,,,,
17,coches,nm,0,L2SP,SP,0,f,1,12,,,,
17,paises,nm,1,L2SP,SP,0,f,3,12,,,,
17,caries,nm,0,L2SP,SP,0,nf,2,12,,,,
17,peines,nm,0,L2SP,SP,0,nf,1,12,,,,
17,fuentes,nm,0,L2SP,SP,0,nf,1,12,,,,
17,sobres,nm,0,L2SP,SP,0,nf,2,12,,,,
17,leches ,m,1,L2SP,SP,0,f,1,12,,,,
17,nubes,nm,1,L2SP,SP,0,nf,2,12,,,,
17,muertes ,m,1,L2SP,SP,0,f,2,12,,,,
17,arboles,nm,1,L2SP,SP,0,f,1,12,,,,
17,buzones,nm,0,L2SP,SP,0,nf,1,12,,,,
17,calles,nm,1,L2SP,SP,0,f,4,12,,,,
17,carnes ,m,0,L2SP,SP,0,nf,1,12,,,,
17,clases,nm,1,L2SP,SP,0,f,4,12,,,,
18,lapices,nm,1,L2SP,SP,0,f,6,34,,,,I
18,jardines,nm,0,L2SP,SP,0,nf,1,34,,,,
18,coches,nm,1,L2SP,SP,0,f,8,34,,,,
18,paises,nm,1,L2SP,SP,0,f,6,34,,,,
18,caries,nm,1,L2SP,SP,0,nf,1,34,,,,
18,peines,nm,1,L2SP,SP,0,nf,1,34,,,,
18,fuentes,nm,0,L2SP,SP,0,nf,1,34,,,,
18,sobres,nm,1,L2SP,SP,0,nf,1,34,,,,
18,leches ,m,1,L2SP,SP,0,f,3,34,,,,
18,nubes,nm,1,L2SP,SP,0,nf,1,34,,,,
18,muertes ,m,1,L2SP,SP,0,f,8,34,,,,
18,arboles,nm,0,L2SP,SP,0,f,7,34,,,,
18,buzones,nm,1,L2SP,SP,0,nf,1,34,,,,
18,calles,nm,1,L2SP,SP,0,f,5,34,,,,
18,carnes ,m,1,L2SP,SP,0,nf,1,34,,,,
18,clases,nm,1,L2SP,SP,0,f,5,34,,,,
19,lapices,nm,1,L2SP,SP,0,f,7,40,,,,A
19,jardines,nm,1,L2SP,SP,0,nf,1,40,,,,
19,coches,nm,1,L2SP,SP,0,f,5,40,,,,
19,paises,nm,1,L2SP,SP,0,f,6,40,,,,
19,caries,nm,1,L2SP,SP,0,nf,4,40,,,,
19,peines,nm,1,L2SP,SP,0,nf,1,40,,,,
19,fuentes,nm,1,L2SP,SP,0,nf,4,40,,,,
19,sobres,nm,1,L2SP,SP,0,nf,4,40,,,,
19,leches ,m,1,L2SP,SP,0,f,3,40,,,,
19,nubes,nm,1,L2SP,SP,0,nf,2,40,,,,
19,muertes ,m,1,L2SP,SP,0,f,5,40,,,,
19,arboles,nm,1,L2SP,SP,0,f,4,40,,,,
19,buzones,nm,1,L2SP,SP,0,nf,4,40,,,,
19,calles,nm,1,L2SP,SP,0,f,6,40,,,,
19,carnes ,m,1,L2SP,SP,0,nf,4,40,,,,
19,clases,nm,1,L2SP,SP,0,f,4,40,,,,
20,lapices,nm,1,L2SP,SP,0,f,5,37,,,,I
20,jardines,nm,1,L2SP,SP,0,nf,2,37,,,,
20,coches,nm,1,L2SP,SP,0,f,7,37,,,,
20,paises,nm,1,L2SP,SP,0,f,5,37,,,,
