participant,item,answer,group,lang,native,Frequent,LIKERT,MINT
16,buzones,0,L2SP,SP,0,nf,7,31
16,calles,0,L2SP,SP,0,f,7,31
16,carnes ,1,L2SP,SP,0,nf,1,31
16,clases,1,L2SP,SP,0,f,9,31
17,lapices,1,L2SP,SP,0,f,4,12
17,jardines,1,L2SP,SP,0,nf,1,12
17,coches,1,L2SP,SP,0,f,1,12
17,paises,1,L2SP,SP,0,f,3,12
17,caries,0,L2SP,SP,0,nf,2,12
17,peines,0,L2SP,SP,0,nf,1,12
17,fuentes,1,L2SP,SP,0,nf,1,12
17,sobres,0,L2SP,SP,0,nf,2,12
17,leches ,1,L2SP,SP,0,f,1,12
17,nubes,1,L2SP,SP,0,nf,2,12
17,muertes ,1,L2SP,SP,0,f,2,12
17,arboles,1,L2SP,SP,0,f,1,12
17,buzones,0,L2SP,SP,0,nf,1,12
17,calles,0,L2SP,SP,0,f,4,12
17,carnes ,1,L2SP,SP,0,nf,1,12
17,clases,1,L2SP,SP,0,f,4,12
18,lapices,1,L2SP,SP,0,f,6,34
18,jardines,1,L2SP,SP,0,nf,1,34
18,coches,1,L2SP,SP,0,f,8,34
18,paises,1,L2SP,SP,0,f,6,34
18,caries,1,L2SP,SP,0,nf,1,34
18,peines,1,L2SP,SP,0,nf,1,34
18,fuentes,1,L2SP,SP,0,nf,1,34
18,sobres,1,L2SP,SP,0,nf,1,34
18,leches ,1,L2SP,SP,0,f,3,34
18,nubes,1,L2SP,SP,0,nf,1,34
18,muertes ,1,L2SP,SP,0,f,8,34
18,arboles,1,L2SP,SP,0,f,7,34
18,buzones,1,L2SP,SP,0,nf,1,34
18,calles,1,L2SP,SP,0,f,5,34
18,carnes ,1,L2SP,SP,0,nf,1,34
18,clases,1,L2SP,SP,0,f,5,34
19,lapices,1,L2SP,SP,0,f,7,40
19,jardines,1,L2SP,SP,0,nf,1,40
19,coches,1,L2SP,SP,0,f,5,40
19,paises,1,L2SP,SP,0,f,6,40
19,caries,1,L2SP,SP,0,nf,4,40
19,peines,1,L2SP,SP,0,nf,1,40
19,fuentes,1,L2SP,SP,0,nf,4,40
19,sobres,1,L2SP,SP,0,nf,4,40
19,leches ,1,L2SP,SP,0,f,3,40
19,nubes,1,L2SP,SP,0,nf,2,40
19,muertes ,1,L2SP,SP,0,f,5,40
